URL,Preço sem desconto,Preço com desconto
https://www.farmaciasindependente.com.br/neolefrin-20-comprimidos,"R$ 18,44","R$ 12,92"
https://www.farmaciasindependente.com.br/dipirona-50mg-solucao-oral-100ml-medley,"R$ 23,67","R$ 11,77"
https://www.farmaciasindependente.com.br/lacto-purga-6comprimidos,,"R$ 5,05"
https://www.farmaciasindependente.com.br/alivium-400mg-3-capsulas,"R$ 9,20","R$ 7,90"
https://www.farmaciasindependente.com.br/musculare-10mg-15comprimidos,"R$ 22,40","R$ 20,29"
https://www.farmaciasindependente.com.br/magnesia-bissurada-40-pastilhas,,"R$ 43,00"
https://www.farmaciasindependente.com.br/pantogar-neo-60capsulas,"R$ 142,37","R$ 124,76"
https://www.farmaciasindependente.com.br/hidroxido-de-aluminio-240ml-ems,"R$ 14,78","R$ 12,45"
https://www.farmaciasindependente.com.br/inilok-40mg-30comprimidos,"R$ 70,37","R$ 59,48"
https://www.farmaciasindependente.com.br/neosaldina-10drageas,,"R$ 19,85"
https://www.farmaciasindependente.com.br/anador-4comprimidos,"R$ 5,32","R$ 4,50"
https://www.farmaciasindependente.com.br/budesonida-64mg-spray-nasal-120-doses-ems,"R$ 51,02","R$ 30,77"
https://www.farmaciasindependente.com.br/pantoprazol-40mg-28-comprimidos-legrand,"R$ 48,34","R$ 21,80"
https://www.farmaciasindependente.com.br/redoxon-tripla-acao-10comprimidos-efervescente,,"R$ 22,33"
https://www.farmaciasindependente.com.br/decongex-plus-12comprimidos,"R$ 29,15","R$ 28,69"
https://www.farmaciasindependente.com.br/tylenol-extra-power-500mg-20comprimidos,"R$ 35,88","R$ 35,78"
https://www.farmaciasindependente.com.br/massageol-aerosol-120ml,"R$ 55,36","R$ 29,66"
https://www.farmaciasindependente.com.br/sonridor-caf-4comprimidos,,"R$ 15,54"
https://www.farmaciasindependente.com.br/puran-t4-100mcg-30comprimidos,"R$ 16,61","R$ 13,61"
https://www.farmaciasindependente.com.br/rapilax-75mg-gotas-30ml,"R$ 17,71","R$ 16,39"
https://www.farmaciasindependente.com.br/dipirona-500mg-30-comprimidos-medley,"R$ 32,99","R$ 16,59"
https://www.farmaciasindependente.com.br/hemitartarato-de-zolpidem-10mg-20-comprimidos-biolab,"R$ 28,62","R$ 17,49"
https://www.farmaciasindependente.com.br/simeticona-40mg-20-comprimidos-medley,"R$ 12,24","R$ 6,99"
https://www.farmaciasindependente.com.br/diane-35-21comprimidos,,"R$ 40,40"
https://www.farmaciasindependente.com.br/cutisanol-gel-100g,"R$ 72,80","R$ 66,52"
https://www.farmaciasindependente.com.br/advantan-creme-15g,"R$ 83,38","R$ 66,22"
https://www.farmaciasindependente.com.br/vick-44e-xarope-120ml,"R$ 35,15","R$ 32,79"
https://www.farmaciasindependente.com.br/fluconazol-150mg-2-capsulas-cimed,"R$ 22,03","R$ 11,26"
https://www.farmaciasindependente.com.br/puran-t4-88mcg-30comprimidos,"R$ 25,65","R$ 21,83"
https://www.farmaciasindependente.com.br/sonrisal-5x2comprimidos-eferv-limao,"R$ 14,35","R$ 11,99"
https://www.farmaciasindependente.com.br/tadalafila-20mg-8-comprimidos-prati-donaduzzi,"R$ 64,70","R$ 22,58"
https://www.farmaciasindependente.com.br/maleato-de-enalapril-10mg-30-comprimidos-neo-quimica,"R$ 9,11","R$ 6,17"
https://www.farmaciasindependente.com.br/cetoprofeno-150mg-10-comprimidos-medley,,"R$ 15,52"
https://www.farmaciasindependente.com.br/xigduo-xr-5-1000-60comprimidos,"R$ 255,66","R$ 186,89"
https://www.farmaciasindependente.com.br/fluconazol-150mg-2-capsulas-medley,"R$ 42,43","R$ 31,96"
https://www.farmaciasindependente.com.br/sup-glicerina-ad-granado-12un,"R$ 23,46","R$ 21,58"
https://www.farmaciasindependente.com.br/tadalafila-20mg-4-comprimidos-ems,"R$ 34,73","R$ 12,58"
https://www.farmaciasindependente.com.br/alivium-100mg-gotas-20ml,"R$ 47,64","R$ 43,97"
https://www.farmaciasindependente.com.br/seakalm-260mg-20-comprimidos,,"R$ 22,54"
https://www.farmaciasindependente.com.br/lacrifilm-5mg-ml-solucao-oftalmica-10ml,"R$ 32,58","R$ 29,99"
https://www.farmaciasindependente.com.br/vitamina-c-redoxon-1g-com-30-comprimidos-sabor-laranja,"R$ 48,69","R$ 48,08"
https://www.farmaciasindependente.com.br/cataflam-pro-emulgel-30g,"R$ 26,55","R$ 23,98"
https://www.farmaciasindependente.com.br/cefaliv-12comprimidos,"R$ 21,96","R$ 20,48"
https://www.farmaciasindependente.com.br/naridrin-adulto-solucao-nasal-30ml,"R$ 37,59","R$ 23,10"
https://www.farmaciasindependente.com.br/puran-t4-25mcg-30comprimidos,"R$ 17,63","R$ 14,86"
https://www.farmaciasindependente.com.br/neuleptil-4-gotas-20ml,"R$ 27,79","R$ 23,08"
https://www.farmaciasindependente.com.br/desogestrel-0075mg-28-comprimidos-sandoz,"R$ 35,88","R$ 24,13"
https://www.farmaciasindependente.com.br/fosfato-sodico-de-prednisolona-3mg-solucao-120ml-prati-donaduzzi,"R$ 38,82","R$ 23,85"
https://www.farmaciasindependente.com.br/luftal-gotas-15ml,,"R$ 30,74"
https://www.farmaciasindependente.com.br/pantoprazol-20mg-42-comprimidos-ems,"R$ 58,75","R$ 31,74"
https://www.farmaciasindependente.com.br/trezete-10mg-10mg-30comprimidos-revestidos,"R$ 88,93","R$ 81,84"
https://www.farmaciasindependente.com.br/sal-de-fruta-eno-sabor-abacaxi-2-envelopes-5g-cada,,Leve4pague3
https://www.farmaciasindependente.com.br/fluconazol-150mg-1-capsula-ems,"R$ 14,74","R$ 7,30"
https://www.farmaciasindependente.com.br/tylenol-dt-20comprimidos,"R$ 38,95","R$ 36,89"
https://www.farmaciasindependente.com.br/dexilant-30mg-30comprimidos,"R$ 123,65","R$ 110,30"
https://www.farmaciasindependente.com.br/tandrilax-15comprimidos,,"R$ 17,56"
https://www.farmaciasindependente.com.br/diclofenaco-de-potassio-50mg-20-comprimidos-medley,"R$ 12,63","R$ 8,99"
https://www.farmaciasindependente.com.br/prednisolona-20mg-10-comprimidos-biosintetica,"R$ 22,24","R$ 13,52"
https://www.farmaciasindependente.com.br/elani-ciclo-3mg-003mg-21comprimidos,"R$ 68,64","R$ 56,62"
https://www.farmaciasindependente.com.br/doril-enxaqueca-4comprimidos,,"R$ 9,54"
https://www.farmaciasindependente.com.br/patanol-s-colirio-25ml,"R$ 78,99","R$ 68,22"
https://www.farmaciasindependente.com.br/apidra-solostar-3ml,,"R$ 46,45"
https://www.farmaciasindependente.com.br/dprev-todo-dia-400ui-gotas-10ml,,"R$ 46,28"
https://www.farmaciasindependente.com.br/viagra-50mg-2comprimidos,,"R$ 72,68"
https://www.farmaciasindependente.com.br/vick-pyrena-sache-unitario-5g-camomila,,"R$ 4,59"
https://www.farmaciasindependente.com.br/acetilcisteina-600mg-16-envelopes-ems,"R$ 66,75","R$ 37,65"
https://www.farmaciasindependente.com.br/vitamina-c-redoxon-1g-com-10-comprimidos-efervescentes,"R$ 20,30","R$ 17,11"
https://www.farmaciasindependente.com.br/benegrip-multi-noite-4comprimidos,,"R$ 11,49"
https://www.farmaciasindependente.com.br/nactali-28comprimidos,"R$ 46,38","R$ 38,87"
https://www.farmaciasindependente.com.br/colact-667mg-xarope-120ml-ameixa,,"R$ 23,56"
https://www.farmaciasindependente.com.br/valerato-betametasona-1g-creme-30g-germed,"R$ 29,29","R$ 19,38"
https://www.farmaciasindependente.com.br/atenolol-25mg-30-comprimidos-neo-quimica,"R$ 7,77","R$ 4,71"
https://www.farmaciasindependente.com.br/caverject-10mg-1-frasco,,"R$ 114,16"
