ean,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
7899884218549,Leave-in Alta Moda Instant SOS Nutri-Reconstrutor 120ml,ALTAMODA,A Nossa Drogaria,21.99,28.59,23.084994753410292,
7896331705348,Protetor Solar Infantil Helioderm Suncare Kids FPS30 120ml,HELIODERM,A Nossa Drogaria,26.59,34.57,23.083598495805614,
7897042017898,Kit Shampoo+Condicionador Skala Expert Vitamina C + Colágeno Vegetal 325ml,SKALA,A Nossa Drogaria,15.99,20.79,23.08802308802308,
7898040329600,Floratil AT Pó 250mg com 6 Sachês,FLORATIL,A Nossa Drogaria,45.39,49.18,7.706384709231395,Floratil previne e trata a diarreia de diferentes casos
7896094927797,Benegrip Multi Dia com 12 Comprimidos,BENEGRIP,A Nossa Drogaria,26.39,26.7,1.1610486891385774,
7896331704020,Protetor Solar Helioderm Suncare FPS30 120ml,HELIODERM,A Nossa Drogaria,27.99,36.39,23.083264633140978,"Protetor Solar Helioderm Suncare Hertz Proporciona uma maior proteção UVA/UVB, recomendado para proteger a pele dos efeitos nocivos causados pela radi"
7896331706338,Protetor Solar Corporal Spray Helioderm Suncare FPS50 200ml,HELIODERM,A Nossa Drogaria,39.69,65.99,39.85452341263828,"Protetor solar com alta proteção UVA e UVB, é resistente à água e ao suor. Dermatologicamente testado. Uso adulto. Recomendados para proteger a pele d"
7896331706994,Protetor Solar Facial Helioderm Suncare FPS50 Com Cor 50ml,HELIODERM,A Nossa Drogaria,34.99,45.49,23.081996043086395,"Pensando em ajudar você a curtir o sol com mais tranquilidade e bem-estar, a Kley Hertz traz para você o Helioderm Suncare, o protetor solar de uso di"
7898040329792,Varicell Duo 6DH com 30 Comprimidos,VARICELL,A Nossa Drogaria,42.99,53.19,19.176536943034396,"Varicell Duo alivia dores, cansaço, inchaço, sensação de dores nas pernas e pés."
7896331705713,Protetor Solar Corporal Helioderm Suncare 120ml,HELIODERM,A Nossa Drogaria,34.99,45.49,23.081996043086395,"Protetor solar com alta proteção UVA e UVB, é resistente à água e ao suor. Dermatologicamente testado. Uso adulto. Recomendados para proteger a pele d"
7896331706208,Protetor Solar Corporal Helioderm Suncare FPS50 200ml,HELIODERM,A Nossa Drogaria,35.99,46.79,23.081855097242997,"Pensando em ajudar você a curtir o sol com mais tranquilidade e bem-estar, a Kley Hertz traz para você o Helioderm Suncare, o protetor solar corporal "
7896331705331,Protetor Solar Facial Diário Helioderm FPS50 50ml,HELIODERM,A Nossa Drogaria,32.99,42.89,23.082303567265093,
7896331704006,Gel Pós Sol Aloe Vera Helioderm Suncare 120ml,HELIODERM,A Nossa Drogaria,17.99,23.39,23.08678922616504,"O Pós-Sol Helioderm Suncare Aloe vera Gel proporciona hidratação, suavização e refrescância para a pele. Contém 98% de Aloe vera, um extrato natural c"
7896331706987,Protetor Solar Facial Helioderm Suncare FPS30 Toque Seco 50ml,HELIODERM,A Nossa Drogaria,27.49,35.74,23.08337996642418,É um protetor solar com cor de uso diário 2 em 1: protetor solar e maquiagem. Cor universal: se adapta aos diferentes tons de pele. Previne o envelhec
7500435128391,Kit Pantene Shampoo 175ml+ Condicionador 175ml Cachos Hidra-vitaminados,PANTENE,A Nossa Drogaria,18.99,24.69,23.086269744835974,
7500435161411,Desodorante Aerosol Old Spice Adventure 124g,OLD SPICE,A Nossa Drogaria,23.99,31.19,23.08432189804426,"Experimente o antitranspirante spray Old Spice Adventure com tecnologia DuraScent que faz com que a sua fragrância dure muuuuuito mais. Além disso, po"
7500435158688,Desodorante Aerosol Old Spice Pegador 124g,OLD SPICE,A Nossa Drogaria,23.99,31.19,23.08432189804426,"Experimente o antitranspirante spray Old Spice Pegador com tecnologia DuraScent que faz com que a sua fragrância dure muuuuuito mais. Além disso, por "
7509546668543,Sabonete Líquido Protex PRO Hidratação 230ml,PROTEX,A Nossa Drogaria,15.29,15.29,0.0,"Com ajuda da Proteína do Leite, Protex PRO Hidratação ajuda a pele a recuperar a sua hidratação natural, mantendo-a sempre bem cuidada.Benefícios:Prot"
7897930777873,Loção Hidratante Cetaphil Bisnaga 200ml,CETAPHIL,A Nossa Drogaria,59.99,77.99,23.079882036158473,"A loção hidranate 200mL apresenta textura leve e de rápida absorção contém Óleo de Abacate, Vitaminas Essenciais E e B3, e Pró-Vitamina B5. Fórmula cl"
7896331705362,Protetor Solar Helioderm Suncare FPS30 200ml,HELIODERM,A Nossa Drogaria,34.99,45.49,23.081996043086395,"Protetor Solar Helioderm Suncare Hertz Proporciona uma maior proteção UVA/UVB, recomendado para proteger a pele dos efeitos nocivos causados pela radi"
7898040329716,Calcitran Triflex com 30 Comprimidos,CALCITRAN,A Nossa Drogaria,63.99,83.19,23.079697078975837,
4005900940759,Esfoliante Facial Nivea Acne Control 75ml,NIVEA,A Nossa Drogaria,36.99,48.09,23.08172177167811,"O Hidratante Facial NIVEA Acne Control ajuda a reequilibrar a saúde da sua pele combatendo 99% a bactéria causadora da acne, controlando a oleosidade "
7500435151504,Condicionador Pantene Colágeno Hidrata e Resgata 510ml,PANTENE,A Nossa Drogaria,53.39,53.39,0.0,"O condicionador sem sal Pantene Pro-v Miracles Colágeno Hidrata & Resgata, resgata profundamente o cabelo, reduz as pontas duplas, fecha as cutículas "
7500435124638,Creme Dental Oral-B Anti Cáries 123 Leve Mais Pague Menos 150g,ORAL B,A Nossa Drogaria,5.49,5.49,0.0,
