,sku,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
8173,9820022,Óleo Extraordinário L'Oréal Elseve 100ml,Elseve,Drogal,48.99,48.99,0.0,O Óleo Extraordinário L'Oréal Elseve Tratamento Reconstrutor possui fórmula rica em 6 óleos de flores raras da natureza é leve e se adapta a todos os tipos de cabelos. Na Drogal você encontra os melhores produtos.
8174,4072162,Cetoconazol - EMS 20mg/g shampoo com 100ml,Ems - Genericos,Drogal,59.64,59.64,0.0,Compre Cetoconazol - EMS 20mg/g shampoo com 100ml com melhor preço e condição na farmácia online Drogal.
8175,6780571,Shampoo Flores e Vegetais 7 Ervas Antiqueda 310ml,Flores e Vegetais,Drogal,21.39,21.39,0.0,"Flores & Vegetais é uma marca que utiliza extratos vegetais e matérias-primas com elevado grau de pureza, além de contribuir com o meio ambiente e não realizar testes em animais. Na Drogal você encontra os melhores produtos para a beleza."
8176,5102200,Hidratante Desodorante Nivea Soft Milk 200ml,Nivea,Drogal,16.99,16.99,0.0,Compre Hidratante Desodorante Nivea Soft Milk 200ml com melhor preço e condição na farmácia online Drogal.
8177,9983021,Hidratante Nivea Firmador Q10 + Vitamina C Pele Seca 400ml,Nivea,Drogal,47.65,47.65,0.0,Compre Hidratante Nivea Firmador Q10 + Vitamina C Pele Seca 400ml com melhor preço e condição na farmácia online Drogal.
8178,9981188,Antisséptico Bucal Listerine Whitening Extreme 473ml,Listerine,Drogal,31.99,31.99,0.0,"O Listerine Whitening é um branqueador em formato de enxaguante bucal, que branqueia os dentes e mata os germes que causam o mau hálito. Você encontra os melhores produtos de higiene na Drogal."
8179,12561,Shampoo Tio Nacho Engrossador 415ml,Tio Nacho,Drogal,38.65,38.65,0.0,Compre Shampoo Tio Nacho Engrossador 415ml com melhor preço e condição na farmácia online Drogal.
8180,10396,Sabonete Líquido Facial Acnezil Limpeza Profunda 200ml,Acnezil,Drogal,23.55,23.55,0.0,Compre Sabonete Líquido Facial Acnezil Limpeza Profunda 200ml com melhor preço e condição na farmácia online Drogal.
8181,9986149,Cera Depilatória Refil Depi-Roll Rosa 100g,DepiRoll,Drogal,7.25,7.25,0.0,Compre Cera Depilatória Refil Depi-Roll Rosa 100g com melhor preço e condição na farmácia online Drogal.
8182,5691214,Lenços Umedecidos Intimus Defesas Naturais 16 Unidades,Intimus,Drogal,9.99,9.99,0.0,Compre Lenços Umedecidos Intimus Defesas Naturais 16 Unidades com melhor preço e condição na farmácia online Drogal.
8183,6330258,Polvilho Antisséptico em pó Granado Sport 100g,Granado,Drogal,14.6,14.6,0.0,Compre Polvilho Antisséptico em pó Granado Sport 100g com melhor preço e condição na farmácia online Drogal.
8184,9980378,Desodorante Antitranspirante Roll On Nivea Men Invisible for Black & White Fresh 50ml,Nivea Men,Drogal,11.85,11.85,0.0,Compre Desodorante Antitranspirante Roll On Nivea Men Invisible for Black & White Fresh 50ml com melhor preço e condição na farmácia online Drogal.
8185,9984407,Absorvente Para Incontinência Urinária Tena Lady Discreet Maxi Night 6 Unidades,Tena,Drogal,23.49,23.49,0.0,Compre Absorvente Para Incontinência Urinária Tena Lady Discreet Maxi Night 6 Unidades com melhor preço e condição na farmácia online Drogal.
8186,7330008,Sabonete Antibacteriano Biofleur Biobac Limpeza Profunda 180g,Biofleur,Drogal,5.39,5.39,0.0,Compre Sabonete Antibacteriano Biofleur Biobac Limpeza Profunda 180g com melhor preço e condição na farmácia online Drogal.
8187,9990674,Roupa Íntima Tena Pants Noturna P/M 7 Unidades,Tena,Drogal,36.75,36.75,0.0,Compre Roupa Íntima Tena Pants Noturna P/M 7 Unidades com melhor preço e condição na farmácia online Drogal.
8188,5691559,Protetor Diário Intimus Cuidado Diário 40 Unidades,Intimus,Drogal,13.65,13.65,0.0,Compre Protetor Diário Intimus Cuidado Diário 40 Unidades com melhor preço e condição na farmácia online Drogal.
8189,9992491,Desodorante Antitranspirante Aerosol Dove Men Care Limão + Sálvia 150ml,Dove Men,Drogal,16.59,16.59,0.0,Compre Desodorante Antitranspirante Aerosol Dove Men Care Limão + Sálvia 150ml com melhor preço e condição na farmácia online Drogal.
8190,9983695,Desodorante Antitranspirante Aerossol Monange Frutas Vermelhas 150ml,Monange,Drogal,10.99,10.99,0.0,Compre Desodorante Antitranspirante Aerossol Monange Frutas Vermelhas 150ml com melhor preço e condição na farmácia online Drogal.
8191,9990400,Loção Desodorante Hidratante Corporal Dove Nutrição Essencial 400ml,Dove,Drogal,18.75,18.75,0.0,Compre Loção Desodorante Hidratante Corporal Dove Nutrição Essencial 400ml com melhor preço e condição na farmácia online Drogal.
8192,6060188,Creme Dental em Gel Closeup Liquifresh Ice 100g,Closeup,Drogal,5.69,5.69,0.0,Compre Creme Dental em Gel Closeup Liquifresh Ice 100g com melhor preço e condição na farmácia online Drogal.
8193,5101891,Sabonete Líquido Íntimo Nivea Suave 250ml,Nivea,Drogal,21.95,21.95,0.0,Compre Sabonete Líquido Íntimo Nivea Suave 250ml com melhor preço e condição na farmácia online Drogal.
8194,9987259,Absorvente Intimus Noturno Seca Com Abas 30 Unidades,Intimus,Drogal,34.15,34.15,0.0,Compre Absorvente Intimus Noturno Seca Com Abas 30 Unidades com melhor preço e condição na farmácia online Drogal.
8195,9983541,Sabonete em Barra Granado Glicerina Chá Branco 90g,Granado,Drogal,5.99,5.99,0.0,O Sabonete em Barra Granado Glicerina Chá Branco tem base vegetal e glicerina 100% natural. Possui alta concentração de extrato natural de Chá Branco. Compre na farmácia online Drogal.
8196,9995771,Sabonete Vegetal Em Barra Giovanna Baby Blue 90g,Giovanna Baby,Drogal,4.45,4.45,0.0,Compre Sabonete Vegetal Em Barra Giovanna Baby Blue 90g com melhor preço e condição na farmácia online Drogal.
8197,9232745,Absorvente Sempre Livre Adapt Suave com Abas 8 Unidades,Nivea,Drogal,16.99,16.99,0.0,O Hidratante Nivea Lotion Express deixa sua pele hidratada e visivelmente macia por 48 horas. Com textura ultraleve que garante absorção imediata. Compre na farmácia online Drogal.
8198,5102189,Hidratante Nivea Lotion Express 200ml,Sempre Livre,Drogal,6.15,6.15,0.0,Sempre Livre Adapt Suave com abas é mais estreito na parte de trás para se ajustar melhor à calcinha e proporcionar maior conforto e discrição. Na Drogal você encontra os melhores produtos.
8199,9993545,Desodorante Antitranspirante Aerosol Rexona Men V8 250ml,Rexona,Drogal,23.65,23.65,0.0,Compre Desodorante Antitranspirante Aerosol Rexona Men V8 250ml com melhor preço e condição na farmácia online Drogal.
8200,5100160,Espuma de Barbear Nivea Men Original Protect 200ml,Nivea Men,Drogal,11.85,11.85,0.0,Compre Desodorante Antitranspirante Roll On Nivea Men Original Protect 50ml com melhor preço e condição na farmácia online Drogal.
