url,preco com desconto,preco sem desconto
https://www.santoremedio.com.br/prato-tramontina-lirous-polipro-verde-pp,"R$ 34,99","R$ 34,99"
https://www.santoremedio.com.br/copo-tramontina-inox-baby-friends-340ml,"R$ 69,99","R$ 69,99"
https://www.santoremedio.com.br/sab-liq-protex-baby-glicerina-c-400ml,"R$ 28,99","R$ 28,99"
https://www.santoremedio.com.br/refil-sab-liq-protex-baby-glicer-c-180ml,"R$ 13,73","R$ 13,73"
https://www.santoremedio.com.br/papinha-org-papapa-manga-100g,"R$ 8,49","R$ 8,49"
https://www.santoremedio.com.br/bisc-papapa-fase-dent-abob-mac-s-glu-36g,"R$ 20,49","R$ 20,49"
https://www.santoremedio.com.br/kit-lav-nasal-inf-nosewash-cop-med-batma,"R$ 48,69","R$ 48,69"
https://www.santoremedio.com.br/kit-lav-nasal-inf-nosewash-cop-mul-marav,"R$ 48,69","R$ 48,69"
https://www.santoremedio.com.br/sabonete-calendula-weleda-100g-1uni,"R$ 42,99","R$ 42,99"
https://www.santoremedio.com.br/oleo-hidratante-weleda-calendula-para-bebe-200ml,"R$ 129,99","R$ 129,99"
https://www.santoremedio.com.br/locao-hidratante-corporal-de-calendula-weleda-200ml,"R$ 109,99","R$ 109,99"
https://www.santoremedio.com.br/cr-pent-s-line-kids-nut-em-acao-300ml,"R$ 13,99","R$ 13,99"
https://www.santoremedio.com.br/colher-tramontina-infantil-curv-inox,"R$ 15,99","R$ 15,99"
https://www.santoremedio.com.br/kit-talher-tramontina-le-petit-urso-cinz,"R$ 84,99","R$ 84,99"
https://www.santoremedio.com.br/prot-abs-buba-lavavel-para-seios,"R$ 41,99","R$ 41,99"
https://www.santoremedio.com.br/pratinho-inf-buba-fun-leao,"R$ 10,59","R$ 12,99"
https://www.santoremedio.com.br/garrafinha-buba-fun-macaco,"R$ 34,99","R$ 34,99"
https://www.santoremedio.com.br/dosador-de-remedio-buba-9807,"R$ 14,99","R$ 14,99"
