,ids
1463,109900
1464,97683
1465,127760
1466,644520
1467,681860
1468,102003
1469,102053
1470,104041
1471,104320
1472,104274
1473,115287
1474,98369
1475,98156
1476,96266
1477,120695
1478,440410
1479,998710
1480,904810
1481,101918
1482,102058
1483,104275
1484,104555
1485,107160
1486,113739
1487,111857
1488,112809
1489,110758
1490,110078
1491,96971
1492,97532
1493,96143
1494,95036
1495,111398
1496,117255
1497,427260
1498,994220
1499,998640
1500,101920
1501,104028
1502,104941
1503,106684
1504,111795
1505,114480
1506,99713
1507,96718
1508,108309
1509,603630
1510,682100
1511,874370
1512,111880
1513,108695
1514,115132
1515,117213
1516,119910
1517,112632
1518,118610
1519,101829
1520,111068
1521,101651
1522,870670
1523,100911
1524,102709
1525,99712
1526,108525
1527,377171
1528,103948
1529,119906
1530,112574
1531,112633
1532,105658
1533,106139
1534,96863
1535,106849
1536,550320
1537,817760
1538,832860
1539,100266
1540,100566
1541,100632
1542,96265
1543,111659
1544,104093
1545,114505
1546,96906
1547,99873
1548,96142
1549,118646
1550,119362
1551,659630
1552,427300
1553,435680
1554,472920
1555,957210
1556,100556
1557,102036
1558,105808
1559,104102
1560,103688
1561,101314
1562,107163
1563,112648
1564,99770
1565,98700
1566,96141
1567,115617
1568,127132
1569,415020
1570,421620
1571,564330
1572,957380
1573,873220
1574,104031
1575,104325
1576,100910
1577,109249
1578,110392
1579,114556
1580,114984
1581,96907
1582,99351
1583,96702
1584,98475
1585,96007
1586,117930
1587,455990
1588,897360
1589,100522
1590,102551
1591,102745
1592,103893
1593,112577
1594,96935
1595,97224
1596,98978
1597,111017
1598,647430
1599,872220
1600,102686
1601,101167
1602,43330
1603,112014
1604,109630
1605,99507
1606,87100
1607,119350
1608,427040
1609,452430
1610,474980
1611,938910
1612,102688
1613,103006
1614,106521
1615,112015
1616,161910
1617,427290
1618,403800
1619,620150
1620,859270
1621,105984
1622,105987
1623,101825
1624,104105
1625,19870
1626,106901
1627,108691
1628,112758
1629,110268
1630,115194
1631,99756
1632,100006
1633,99218
1634,107777
1635,111070
1636,116293
1637,117920
1638,665680
1639,108242
1640,115388
1641,397326
1642,114337
1643,111990
1644,110022
1645,110267
1646,104821
1647,105507
1648,105831
1649,106050
1650,96875
1651,579730
1652,837970
1653,620140
1654,404840
1655,112575
1656,113262
1657,105078
1658,108998
1659,109535
1660,110483
1661,111184
1662,96329
1663,531670
1664,103441
1665,103885
1666,97569
1667,97588
1668,99711
1669,95776
1670,522700
1671,115245
1672,103993
1673,113742
1674,112642
1675,105888
1676,110780
1677,96705
1678,96964
1679,101238
1680,803350
1681,103438
1682,102857
1683,97259
1684,111642
1685,114986
1686,122930
1687,427170
1688,112024
1689,115868
1690,116241
1691,117878
1692,98745
1693,98920
1694,111019
1695,101285
1696,671410
1697,103523
1698,102733
1699,102848
1700,464080
1701,104604
1702,107317
1703,114039
1704,114489
1705,99499
1706,99527
1707,99303
1708,116834
1709,119780
1710,555810
1711,595820
1712,100626
1713,100721
1714,104472
1715,106946
1716,109100
1717,115211
1718,109665
1719,96902
1720,96912
1721,96908
1722,98226
1723,99345
1724,108042
1725,116858
1726,117216
1727,119699
1728,679490
1729,415200
1730,465170
1731,474350
1732,643500
1733,648550
1734,832980
1735,102685
1736,103004
1737,106232
1738,104276
1739,103824
1740,103768
1741,105033
1742,106811
1743,114270
1744,109205
1745,109216
1746,113079
1747,96822
1748,97837
1749,99848
1750,96330
1751,111648
1752,116023
1753,116176
1754,528400
1755,555870
1756,559410
1757,940730
1758,859280
1759,100646
1760,106055
1761,105765
1762,104039
1763,104107
1764,98971
1765,110509
1766,110457
1767,101377
1768,822140
1769,589440
1770,98138
1771,842370
1772,842380
1773,108324
1774,108690
1775,394990
1776,114497
1777,117879
1778,113080
1779,113260
1780,99500
1781,104942
1782,96870
1783,106738
1784,100745
1785,100916
1786,103584
1787,102696
1788,97330
1789,99955
1790,98150
1791,834570
1792,100197
1793,104052
1794,103111
1795,103515
1796,100935
1797,106816
1798,112343
1799,115238
1800,97231
1801,99851
1802,96387
1803,99219
1804,547730
1805,707950
1806,717730
1807,874290
1808,102668
1809,105811
1810,114047
1811,113023
1812,99520
1813,99699
1814,96436
1815,96708
1816,99259
1817,99265
1818,99267
1819,117921
1820,119651
1821,880850
1822,868420
1823,696510
1824,563350
1825,832800
1826,111625
1827,111524
1828,481300
1829,454190
1830,107314
1831,107787
1832,103954
1833,104032
1834,116830
1835,118059
1836,113373
1837,109727
1838,99498
1839,104806
1840,102226
1841,109508
1842,105829
1843,96773
1844,96905
1845,644390
1846,100316
1847,100781
1848,103444
1849,102708
1850,837050
1851,102181
1852,102182
1853,105823
1854,104151
1855,108797
1856,109250
1857,113157
1858,99708
1859,100007
1860,96435
1861,98738
1862,108311
1863,111604
1864,307572
1865,115984
1866,95490
1867,454160
1868,370282
1869,594920
1870,938920
1871,874160
1872,100497
1873,100757
1874,100767
1875,102236
1876,104050
1877,104384
1878,114518
1879,114387
1880,112054
1881,112636
1882,96331
1883,96540
1884,949870
1885,100924
1886,95864
1887,108452
1888,115214
1889,475710
1890,412720
1891,104152
1892,116272
1893,118643
1894,113113
1895,98974
1896,97082
1897,100945
1898,957360
1899,584670
1900,100330
1901,103001
1902,103062
1903,98017
1904,96139
1905,87110
1906,100324
1907,102552
1908,101890
1909,100898
1910,100914
1911,107214
1912,112036
1913,110316
1914,110258
1915,96881
1916,97857
1917,98169
1918,99412
1919,99532
1920,100004
1921,96481
1922,111397
1923,111439
1924,116538
1925,115325
1926,671430
1927,587940
1928,693700
1929,847330
1930,881090
1931,100166
1932,100299
1933,100336
1934,100348
1935,105986
1936,106680
1937,105511
1938,112997
1939,110667
1940,109632
1941,96877
1942,97568
1943,97739
1944,98229
1945,96607
1946,96618
1947,96033
1948,117316
1949,117727
1950,117935
1951,679500
1952,538470
1953,498030
1954,812660
1955,699010
1956,100778
1957,102042
1958,104157
1959,101237
1960,109826
1961,99420
1962,99882
1963,96267
1964,98581
1965,96044
1966,108040
1967,108310
1968,116931
1969,161740
1970,659850
1971,671640
1972,426220
1973,486910
1974,603520
1975,10009486
1976,817810
1977,941100
1978,10004966
1979,100169
1980,100477
1981,102283
1982,104417
1983,103529
1984,103528
1985,101290
1986,113377
1987,108699
1988,112823
1989,113038
1990,110341
1991,110558
1992,114350
1993,109664
1994,109864
1995,96666
1996,98977
1997,99313
1998,95411
1999,555800
2000,582490
2001,805470
2002,111459
2003,114907
2004,488150
2005,404780
2006,116829
2007,117211
2008,99233
2009,101813
2010,101863
2011,101242
2012,100749
2013,97577
2014,100009
2015,97841
2016,98144
2017,111341
2018,111591
2019,111623
2020,525750
2021,115558
2022,120229
2023,116376
2024,113375
2025,99286
2026,102231
2027,109097
2028,96377
2029,96527
2030,96739
2031,96772
2032,96873
2033,968430
2034,533440
2035,97368
2036,99765
2037,99833
2038,98018
2039,98172
2040,98140
2041,98137
2042,919450
2043,928410
2044,834780
2045,111658
2046,395040
2047,394680
2048,107841
2049,117317
2050,119235
2051,112388
2052,112764
2053,98714
2054,108825
2055,109597
2056,109710
2057,106049
2058,110868
2059,96819
2060,96876
2061,101572
2062,99850
2063,95854
2064,671420
2065,564340
2066,582650
2067,103059
2068,102048
2069,103982
2070,104445
2071,101080
2072,101326
2073,113413
2074,112379
2075,109534
2076,109712
2077,97475
2078,98242
2079,96534
2080,96009
2081,108174
2082,108318
2083,116063
2084,116177
2085,118388
2086,127730
2087,427140
2088,427190
2089,817820
2090,682210
2091,832830
2092,105813
2093,104189
2094,100920
2095,101122
2096,101289
2097,107078
2098,107368
2099,109855
2100,97216
2101,97383
2102,98101
2103,99705
2104,99701
2105,99897
2106,99888
2107,96389
2108,96434
2109,98701
2110,117726
2111,118434
2112,404800
2113,693690
2114,843020
2115,852830
2116,865490
2117,880160
2118,883040
2119,883820
2120,111765
2121,108573
2122,435660
2123,115981
2124,116306
2125,116699
2126,109856
2127,110253
2128,105172
2129,102281
2130,105833
2131,111071
2132,874470
2133,979080
2134,865670
2135,638390
2136,655910
2137,102999
2138,103184
2139,103193
2140,99847
2141,10007229
2142,111672
