productName,brand,link,description,skuId,ean,Price,ListPrice,PriceWithoutDiscount,IsAvailable
Benerva 300mg Cellera Farma 60 Cápsulas,Cellera Farma,https://www.drogariasaopaulo.com.br/benerva-300mg-cellera-farma-60-capsulas/p,Benerva 300mg Cellera Farma 60 Cápsulas,746746,7893454714523,55.79,59.63,55.79,true
Prednisolona 5mg Genérico Eurofarma 20 Comprimidos,Eurofarma,https://www.drogariasaopaulo.com.br/prednisolona-5mg-generico-eurofarma-20-comprimidos/p,Prednisolona 5mg Genérico Eurofarma 20 Comprimidos,709670,7891317004316,9.19,15.54,9.19,true
Desodorante Adidas Aerosol Climacool Masculino 150ml,Adidas,https://www.drogariasaopaulo.com.br/desodorante-adidas-aerosol-climacool-masculino-150ml/p,"O Desodorante Aerosol Adidas Masculino é a melhor opção para evitar os incômodos da transpiração. Seja inverno ou verão, o desodorante faz parte da higiene diária e é indispensável na vida de qualquer pessoa. Disponíveis em versão desodorante ou antitranspirante, normalmente esses produtos tem como principal característica segurar o suor e reduzir o odor causado pelas bactérias. Para pessoas que apenas transpiram muito, sem mau cheiro, o ideal é usar apenas antitranspirante. Escolha a fragrância que melhor lhe agrade e tenha um dia mais fresquinho e agradável.",634387,7891350032963,15.29,15.29,15.29,true
Gel Cicatricure para Cicatrizes e Estrias 30g,Cicatricure,https://www.drogariasaopaulo.com.br/cicatricure-gel-30ml/p,"• [TECNOLOGIA INOVADORA PARA CICATRIZES E ESTRIAS] Cicatricure Gel oferece tecnologia inovadora que diminui o tamanho de cicatrizes e estrias.\r\n\r\n\r\n• [TEXTURA E COLORAÇÃO] Especificamente desenvolvido para melhorar a textura e coloração de cicatrizes e estrias brancas e vermelhas.\r\n\r\n\r\n• [INGREDIENTES] Entre os principais ingredientes da fórmula Cicatricure gel tem na sua composição: Extrato de cebola (Allium cepa L), Extrato de camomila (Chamomilla recutita), Extrato de tomilho (Thymus vulgaris), Extrato de conchas marinhas (Ostrea shell), Extrato da folha de nogueira (Juglans regia leaf), Extrato babosa (Aloe barbadensis), Extrato de Centela (Centella asiática) e Óleo de bergamota (Citrus aurantium bergamia).\r\n\r\n\r\n• [RESULTADOS COMPROVADOS] 88% das mulheres que participaram de um teste com Cicatricure Gel viram a diferença*\r\n\r\n\r\n* Estudo externo de eficácia cosmética.\r\n\r\n\r\n• [MODO DE USO] Aplique 4 vezes ao dia sobre a região afetada, massageando até a completa absorção. Recomenda-se dois meses de uso contínuo para o tratamento completo.\r\n\r\n\r\nCICATRICURE GEL foi especificamente desenvolvido para melhorar a pele com CICATRIZES e ESTRIAS. Sua tecnologia inovadora hidrata e ajuda a melhorar significativamente a textura, coloração e tamanho de cicatrizes e ESTRIAS BRANCAS e VERMELHAS. Sua pele suavizada e com MARCAS minimizadas. \r\n\r\nTratamento indicado para todos os tipos de pele.",279986,7898949409625,25.29,32.99,25.29,true
Desogestrel 150mcg + Etinilestradiol 20mcg Genérico Eurofarma 21 Comprimidos,Eurofarma,https://www.drogariasaopaulo.com.br/desogestrel-150mcg-etinilestradiol-20mcg-generico-eurofarma-21-comprimidos/p,"Desogestrel 150mcg + Etinilestradiol 20mcg Genérico Eurofarma 21 Comprimidos é um anticoncepcional oral combinado (pílula combinada). Cada comprimido contém uma pequena quantidade de dois diferentes hormônios femininos: o desogestrel (um progestagênio) e o etinilestradiol (um estrogênio). Por causa das pequenas quantidades de hormônios, desogestrel + etinilestradiol é considerado um anticoncepcional oral de dose baixa. Como todos os comprimidos da cartela combinam os mesmos hormônios na mesma dose, ele é considerado um anticoncepcional oral combinado monofásico.",185914,7891317448936,10.99,36.61,10.99,true
"Protetor Solar Hidratante Labial Nivea Sun Protect Alta Proteção FPS 30 4,8g",Nivea,https://www.drogariasaopaulo.com.br/protetor-solar-labial-nivea-sun-protect-fps-30-4--8g/p,"Cuide dos seus lábios e os proteja com NIVEA Sun Protect! O Protetor Solar Hidratante Labial NIVEA Sun Protect FPS 30 oferece hidratação profunda por 24 horas, além de alta proteção contra os raios UVA e UVB .\nSua fórmula exclusiva com FPS 30 é enriquecida com óleos de abacate e jojoba de origem natural, além de ser resistente à água, para garantir lábios protegidos de forma eficaz dos efeitos nocivos solares.\nSeu formato em bastão é prático e desliza facilmente para manter seus lábios sempre protegidos contra o ressecamento enquanto você aproveita o melhor do sol.\nDermatologicamente testado, o NIVEA Sun Protect é o item essencial para acompanhar você na praia, na piscina e ao ar livre, mantendo seus lábios sempre protegidos e bem cuidados. Compre agora, receba em casa e se surpreenda com lábios macios e saudáveis sempre.  \n\n• 24 horas de hidratação profunda  \n• Alta proteção contra os raios UVA/UVB – FPS 30  \n• Com óleos de abacate e jojoba de origem natural  \n• Resistente à água  \n• Embalagem reciclável  \n• Dermatologicamente testado  \n• Livre de óleo mineral",87300,7890704851335,17.9,21.9,17.9,true
Vitamina C Targifor Cewin 1g Laranja Sem Açúcar 10 Comprimidos Efervescente,Sanofi,https://www.drogariasaopaulo.com.br/cewin-efervescente-laranja-s-acucar-1g-sanofi-aventis-10-comprimidos/p,"Cewin mudou e agora se chama Targifor Cewin: a mesma fórmula, em uma nova\nmarca e com uma nova embalagem.\nTargifor Cewin é um suplemento alimentar de Vitamina C efervescente, indicado no\nfortalecimento da imunidade, com ação antioxidante e manutenção do metabolismo\nenergético.",36730,7891058001520,10.99,18.49,10.99,true
Daflon 500mg Servier 60 Comprimidos Revestidos,Servier,https://www.drogariasaopaulo.com.br/daflon-500mg-servier-60-comprimidos-revestidos/p,Daflon 500mg também é indicado para o tratamento dos sintomas funcionais relacionados à insuficiência venosa do plexo hemorroidário. Alívio dos sinais e sintomas pré e pós operatórios de safenectomia. Alívio dos sinais e sintomas pós-operatórios de hemorroidectomia. Alívio da dor pélvica crônica associada à Síndrome da Congestão Pélvica. Não deve ser utilizado nos casos de hipersensibilidade previamente conhecida a substância ativa ou a qualquer um dos componentes da fórmula. Este medicamento é contraindicado para o uso em crianças.,26670,7898029551787,176.0,211.73,176.0,true
Hidratante Labial Carmed BFF Rosa Glitter Tutti Frutti Efeito Gloss 10g,Carmed,https://www.drogariasaopaulo.com.br/hidratante-labial-carmed-bff-rosa-glitter-tutti-frutti-efeito-gloss-10g/p,"Carmed BFF Rosa Glitter é um hidratante labial cor rosa com glitter com aroma de tutti frutti, efeito gloss e alto poder de hidratação. Desenvolvido em parceria com Maísa.",831611,7897947617506,29.99,29.99,29.99,true
Fralda Infantil Pampers Supersec G Pacote 80 Unidades,Pampers,https://www.drogariasaopaulo.com.br/fralda-infantil-pampers-supersec-g-pacote-80-unidades/p,Fralda Infantil Pampers Supersec G Pacote 80 Unidades,818852,7500435132831,96.99,96.99,96.99,true
Loção Hidratante CeraVe para Pele Seca a Extra Seca 50ml,Cerave,https://www.drogariasaopaulo.com.br/locao-hidratante-cerave-corporal-50ml/p,"Tecnologia MVE: Este sistema de liberação patenteado libera continuamente ingredientes hidratantes para uma hidratação 24 horas.\n\nCeramidas: Essenciais para uma pele saudável, as ceramidas ajudam a restaurar e manter a barreira natural da pele.\n\nÁcido hialurônico: Este ingrediente atrai hidratação para a superfície da pele e ajuda a pele a reter a umidade.\n\nNão comedogênica e sem perfume.\n\nDesenvolvido em conjunto com dermatologistas.",812048,7908615015484,34.89,34.99,34.89,true
Protetor Solar Episol Uniformizador Smart Color 40ml,Mantecorp Skincare,https://www.drogariasaopaulo.com.br/protetor-solar-episol-uniformizador-smart-color-40ml/p,"Recomendações e Orientações :\nAlta proteção UVA e UVB.\nEste produto ajuda a prevenir as queimaduras solares.\nAdvertência :\nEm caso de irritação ou alergia, descontinuar o uso do produto, caso persista, procure assistência médica.\nNão ingerir.\nEm caso de contato acidental com os olhos, enxaguar abundantemente.\nSe a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.\nUso externo.\nEste produto não oferece nenhuma proteção contra insolação.\nEvite exposição prolongada das crianças ao sol.\nMantenha fora do alcance das crianças.",803707,7891142205735,69.9,89.99,69.9,true
Porta Escova de Dente Ever Care 1 Unidade,Ever Care,https://www.drogariasaopaulo.com.br/porta-escova-de-dente-ever-care-1-unidade/p,"Instruções de uso:?\n1.Após o uso da escova, remova totalmente o creme dental e retire o excesso da água.2.Abra o estojo, coloque sua escova e feche até travar. ?\nPrecauções:?\nNão compre se a embalagem estiver violada. Não estéril. Mantenha fora do alcance de crianças.?",771074,7908271302836,7.89,7.89,7.89,true
Protetor Solar Facial Imecap Actsun FPS60 Sem Cor com Ácido Hialurônico 50g,FQM Melora,https://www.drogariasaopaulo.com.br/protetor-solar-facial-imecap-act-sun-60fps-50g/p,Protetor Solar Facial Imecap Act Sun 60FPS 50g,741752,7898040328825,26.79,38.39,26.79,true
Lenços Umedecidos Johnson's Baby Recém-Nascido Sem Fragrância 96 Unidades,Johnson e Johnson,https://www.drogariasaopaulo.com.br/lenco-umedecido-johnson-johnson-recem-nascido-96-unidades/p,"As toalhinhas JOHNSON'S® Recém-Nascido foram desenvolvidas para cuidar da pele mais delicada, mesmo após as diversas trocas do dia. Com óleo puro de algodão, limpa suavemente sem deixar resíduos.\n\nBENEFÍCIOS:\n-  Foram desenvolvidas para cuidar da pele mais delicada, mesmo após as diversas trocas do dia.\n- Com óleo puro de algodão, limpa suavemente sem deixar resíduos.\n- Clinicamente comprovado: tão suave como água pura\n- Seguro desde o primeiro dia de vida\n- pH fisiológico e hipoalergênico. Testado por pediatras e dermatologistas\n\nMODO DE USO:\nAbra a tampa adesiva e puxe a primeira toalhinha pelo centro. Após o uso, feche a tampa adesiva para conservar a umidade das toalhinhas. \n\nPRECAUÇÕES: \nManter fora do alcance de crianças. Em caso de irritação, suspender o uso e procurar um médico. Não usar na pele irritada ou lesionada. Deve ser aplicado por um adulto ou sob sua supervisão. Conservar em local fresco e ao abrigo da luz solar direta. Este produto foi formulado de maneira a minimizar possível surgimento de alergia. \n\nCOMPOSIÇÃO:\nAqua, Sodium Benzoate, Citric Acid, Carbomer, Caprylyl Glycol, Glycerin, Coco-Glucoside, Polyglyceryl-2 Dipolyhydroxystearate, Lauryl Glucoside, Glyceryl Oleate, Sodium Hydroxide, Glyceryl Polyacrylate, Gossypium Herbaceum Seed Oil.",500569,7891010589639,35.69,35.69,35.69,true
Preservativo Olla Large com 6 Unidades,Olla,https://www.drogariasaopaulo.com.br/preservativo-olla-large-com-6-unidades/p,"O Preservativo Olla Large é a camisinha no tamanho perfeito para quando a sua vontade não cabe no formato original. São 55mm para seu prazer. Com uma largura maior que os preservativos convencionais, proporciona maior conforto e segurança durante a relação. Durante a relação sexual, o preservativo é o único método eficaz para evitar a gravidez indesejada e Infecções sexualmente transmissíveis (IST).   \nO preservativo Olla Large é lubrificado e possui maior largura do que os preservativos padrão, proporcionando maior conforto e a mesma segurança de sempre.Este preservativo é lubrificado para que sua relação sexual seja muito melhor e a estimulação seja aumentada.Para Olla, sexo é algo espontâneo e delicioso. Ninguém deve se privar dos seus desejos e prazeres. E viva as novas descobertas!Este produto é feito de látex para oferecer a segurança que você procura.Não é testado em animais.O preservativo é o método contraceptivo mais eficaz para prevenir infecções sexualmente transmissíveis, além de uma gravidez indesejada, portanto, seu uso na privacidade é essencial.   \nO envelope que contém o preservativo deve ser aberto pelo picote no sentido vertical e somente na hora do uso. Não utilizar objetos cortantes, afiados ou pontiagudos para abrir a embalagem. Colocar o preservativo no pênis assim que ocorrer a ereção, antes de qualquer contato genital ou penetração. Para colocá-lo, leve-o até a extremidade do pênis ereto e aperte a ponta do preservativo de modo a evitar a retenção de ar em seu interior. Desenrolá-lo até a base do pênis. Logo após a ejaculação, quando o pênis ainda estiver ereto,retire-o da vagina vagarosamente, segurando a borda do preservativo para que não haja vazamento de esperma. O produto deve ser utilizado uma única vez e deve ser descartado corretamente logo após o uso, não devendo ser jogado no vaso sanitário. Use um novo preservativo a cada relação sexual.",148059,7896222717955,19.49,19.49,19.49,true
Sabonete Íntimo Floracyd Femme 200ml,Floracyd,https://www.drogariasaopaulo.com.br/sabonete-intimo-floracyd-femme-200ml/p,Sabonete Íntimo Floracyd Femme 200ml,734675,7898550787211,10.59,12.99,10.59,true
Kit Dove Reconstrução Shampoo 350ml + Condicionador 175ml,Dove,https://www.drogariasaopaulo.com.br/kit-dove-reconstrucao-shampoo-350ml---condicionador-175ml-/p,Kit Dove Reconstrução Shampoo 350ml + Condicionador 175ml,839906,7891150093263,23.9,27.09,23.9,true
Kit Creme Dental Condor Galinha Pintadinha 50g 3 Unidades,Condor,https://www.drogariasaopaulo.com.br/kit-creme-dental-condor-galinha-pintadinha-50g-3-unidades/p,Kit Creme Dental Condor Galinha Pintadinha 50g 3 Unidades,699438,7891055814819,25.99,25.99,25.99,true
Escova Interdental Edel White Profissional ID6 XS 042mm 6 Unidades,EDEL WHITE,https://www.drogariasaopaulo.com.br/escova-interdental-edel-white-profissional-id6-xs-042mm-6-unidades/p,"As escovas interdentais da edel+white® são mais duráveis e fáceis de usar graças a um núcleo de alta resistência e design inovador com inclinação exclusiva. O revestimento higiênico e uniforme do fio protege contra a contaminação, tornando-a totalmente segura para o uso em implantes, pontes e aparelhos ortodônticos. O cabo compacto estendido oferece uma empunhadura anti-deslizante. 6 tamanhos para a integridade total de seus dentes.",328332,7640131873307,29.99,29.99,29.99,true
