,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
100,SKINCEUTICALS FPS80 UV OIL DEF COR 40G 2646,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 136,90",4299584,89512
101,"SKINCEUTICALS RETIN 0,3 CR NOT 30M 0206",LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 499,90",1839902,89955
102,THERACNE SAB BARRA 80GR,THERASKIN,,"R$ 49,78",4386101,98721
103,UMIDITA CREME EM GEL FACIAL FPS25 50ML,LIBBS,,"R$ 67,90",4389241,67439
104,AVENE FPS60 MAT PERF ANTIACNE 40G 2212,LABORATORIO PIERRE FABRE,,"R$ 99,99",4769579,99225
105,AVENE PROTETOR SOLAR INFANTIL SPRAY FPS50 200ML,LABORATORIO PIERRE FABRE,,"R$ 124,99",4769951,98100
106,CERAVE GEL DE LIMPEZA FACIAL 150G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 59,90",7429907,98284
107,CERAVE LOÇAO HIDRATANTE SEM PERFUME PELE SECA A EXTRA S...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 81,79",255157,68520
108,CETAPHIL CREME HIDRATANTE CORPO 250GR 0565,GALDERMA BRASIL-DERMO,,"R$ 79,99",7429908,98582
109,CETAPHIL LOCAO DE LIMPEZA PUMP 300ML,GALDERMA BRASIL-DERMO,,"R$ 87,90",4489903,93750
110,CETAPHIL SUN ANTIOX FPS60 COR 50ML,GALDERMA BRASIL-DERMO,,"R$ 76,90",4388811,93500
111,C-kaderm Gel 20g,HYPERA DERMO-MANTECORP,,"R$ 192,90",9009903,102471
112,CREME AVENE REPARADOR CICALFATE+40ML,LABORATORIO PIERRE FABRE,"R$ 89,90","R$ 74,90",7659920,98078
113,EUCERIN SERUM FACIAL ANTI-PIGMENT DUAL 30ML,BDF NIVEA LTDA-EUCERIN,,"R$ 355,90",4388822,96171
114,FISIOGEL CREME FACIAL A.I FPS20 40GR,MEGALABS FARMACEUTICA DERMO,,"R$ 82,19",4388821,96170
115,GEL CLEANANCE AVENE INTENSE LIMPEZA PROFUNDA 300ML,AVENE,,"R$ 99,90",4388823,96519
116,GEL CLEANANCE AVENE LIMPEZA PURIFICANTE 150M,LABORATORIO PIERRE FABRE,,"R$ 70,90",4948613,98325
117,GEL CLEANANCE AVENE LIMPEZA PURIFICANTE 60GR,LABORATORIO PIERRE FABRE,,"R$ 49,90",349901,92760
118,GEL SECATIVO ASEPXIA TRANSPARENTE 15G,GENOMMA PERFUMARIA,,"R$ 22,90",8828817,83085
119,HELIORAL MELORA 250MG C/60CPS 3021,FARMOQUIMICA,,"R$ 187,82",9990380,103054
120,KIT VERÃO AVÉNE MAT PERFECT FLUIDO COM COR FPS60 40G + ...,LABORATORIO PIERRE FABRE,,"R$ 70,90",4769903,83755
121,LA ROCHE CREME PURE VITAMINA C ANTI-IDADE 40ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 277,90",9989930,102609
122,LA ROCHE CREME PURE VITAMINA C UV FPS25 ANTI-IDADE 40ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 288,90",4768694,83731
123,LA ROCHE EFFACLAR GEL DE LIMPEZA SUAVE ALTA TOLERANCIA ...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 75,99",4768933,98459
124,LA ROCHE HYALU B5 OLHOS CUIDADO REPARADOR 15ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 201,90",4769950,98116
125,LA ROCHE HYALU B5 REPAIR CREME ANTI-IDADE 40ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 299,90",4798961,95229
126,LA ROCHE LIPIKAR BAUME AP+M 75ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 121,48",4768916,91086
127,LA ROCHE LIPIKAR LOCAO HIDRATANTE INTENSIVO CORPORAL 20...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 99,90",4768693,83757
128,LA ROCHE REDERMIC HYALU C OLHOS CREME ANTI-IDADE 15ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 226,90",4768890,83766
129,LA ROCHE TOLERIANE SENSITIVE HIDRATANTE 40ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 139,90",9993196,105251
130,LOCAO HIDRATANTE NUTRIOL MED ANTICOCEIRA 100ML,DARROW,,"R$ 82,90",348904,92756
131,PROFUSE ESSENCELE FILER C SERUM 30G,ACHE,,"R$ 183,90",349910,92761
132,Profuse Puriance Gel Renovador Para Pele Oleosa 60g,ACHE,,"R$ 76,90",4389255,67437
133,PROTETOR SOLAR FACIAL AVENE FPS50+PO COMPACTO DORE 50G,LABORATORIO PIERRE FABRE,,"R$ 169,99",4389240,67438
134,PROTETOR SOLAR FACIAL AVENE FPS50+PO COMPACTO SABLE 10G...,LABORATORIO PIERRE FABRE,,"R$ 169,99",4389910,97165
135,PROTETOR SOLAR FACIAL AVENE FPS60 MAT PERFECT S/COR 40G...,LABORATORIO PIERRE FABRE,"R$ 99,99","R$ 86,90",4388615,98911
136,PROTETOR SOLAR FACIAL AVENE FPS70 EMULSAO COLOR 40G,LABORATORIO PIERRE FABRE,,"R$ 77,99",4388616,98912
137,PROTETOR SOLAR FACIAL AVENE FPS70 EMULSAO S/COR 40GR,LABORATORIO PIERRE FABRE,,"R$ 77,99",4389905,93506
138,"Protetor Solar Facial Avene Mat Perfect com cor, FPS 60...",LABORATORIO PIERRE FABRE,,"R$ 99,99",9991598,104294
139,SERUM ANTI ACNE AVENE CLEANANCE COMEDOMED 30ML,AVENE,,"R$ 214,90",589906,93026
140,SKINCEUTICALS PHLORETIN C F GOTAS 30ML,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 499,90",7094906,88935
141,SKINCEUTICALS SERUM 10 30ML 0997,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 419,90",4778667,91472
142,DESODORANTEVICHY 48HORAS VERDE 50ML,LOREAL BR- DIV DCA VICHY,,"R$ 133,90",4779923,96682
143,VICHY HID MINERAL 89 30ML,LOREAL BR- DIV DCA VICHY,"R$ 129,15","R$ 122,90",4778661,91425
144,Protetor Solar Corporal Vichy Idéal Soleil Hydrasoft FP...,LOREAL BR- DIV DCA VICHY,,"R$ 113,90",9991008,103691
