URL,Preço sem desconto,Preço com desconto
https://farmaciapermanente.com.br/feminis-caixa-30-cap,"142,09","117,99"
https://farmaciapermanente.com.br/ivermectina-6mg-vitamedic-caixa-4-comprimidos,"35,74","19,99"
https://farmaciapermanente.com.br/multigrip-20cpr,"27,37","26,99"
https://farmaciapermanente.com.br/losartana-potsica-50mg-teuto-caixa-30-comprimidos-revestidos,"9,46","6,49"
https://farmaciapermanente.com.br/muvinlax-20-envelopes-14g,"50,08","47,99"
https://farmaciapermanente.com.br/xarope-cloridrato-de-bromexina-4mg-120ml-xarope-pediatrico-ems,"15,86","14,99"
https://farmaciapermanente.com.br/dexametasona-4-0mg-ems-caixa-10-comprimidos,"15,77","13,49"
https://farmaciapermanente.com.br/benegrip-20-comprimidos-revestidos-500mg-30mg-2mg,"38,51","35,85"
https://farmaciapermanente.com.br/luftal-gotas-simeticona-75mg-ml-15ml,"51,99","26,99"
https://farmaciapermanente.com.br/omeprazol-20-mg-com-56-cps,"40,03","24,49"
https://farmaciapermanente.com.br/cha-para-gripe-vick-pyrena-sabor-maca-e-canela-5g,"4,63","3,99"
https://farmaciapermanente.com.br/decongex-plus-120ml-xarope-ache,"25,09","23,24"
https://farmaciapermanente.com.br/vonau-flash-4mg-biolab-caixa-10-comprimidos,"46,11","42,88"
https://farmaciapermanente.com.br/antisseptico-topico-merthiolate-spray-30ml,"26,35","25,67"
https://farmaciapermanente.com.br/losartana-potsica-50mg-ems-caixa-30-comprimidos-revestidos,,
https://farmaciapermanente.com.br/atroveran-dip-1g-10-comprimidos,"16,10","14,91"
https://farmaciapermanente.com.br/laxante-fitoterapico-lacto-purga-blister-6-comprimidos,"5,58","5,29"
https://farmaciapermanente.com.br/doril-enxaqueca-com-18-comprimidos,"41,10","31,99"
https://farmaciapermanente.com.br/nimesulida-100mg-ems-caixa-12-comprimidos,"20,81","9,99"
https://farmaciapermanente.com.br/cetoprofeno-150mg-eurofarma-caixa-10-comprimidos,"51,10","29,49"
https://farmaciapermanente.com.br/furosemida-40mg-teuto-caixa-20-comprimidos,"8,59","8,49"
https://farmaciapermanente.com.br/salsep-jet-100ml-0-9-mg,"41,14","39,91"
https://farmaciapermanente.com.br/predsim-20mg-mantecorp-farmasa-caixa-10-comprimidos,"37,75","35,86"
https://farmaciapermanente.com.br/pantoprazol-sadico-sesqui-hidratado-20mg-ems-caixa-28-comprimidos-revestidos,"30,63","18,99"
https://farmaciapermanente.com.br/lidopass-pomada-laranja,"22,53","15,00"
https://farmaciapermanente.com.br/vasopril-10mg-biolab-caixa-30-comprimidos,"37,85","8,99"
https://farmaciapermanente.com.br/agua-de-flor-de-laranj-100ml-lapo,"14,73","13,99"
https://farmaciapermanente.com.br/l-enema-130ml,"25,02","21,99"
https://farmaciapermanente.com.br/flogoral-12past-laranja,"17,62","17,11"
https://farmaciapermanente.com.br/decongex-plus-com-4-comprimidos,"9,78","9,49"
https://farmaciapermanente.com.br/seki-xarope-120ml-3-54mg,"29,96","29,49"
https://farmaciapermanente.com.br/hytos-plus-xarope-100ml,"29,02","26,57"
https://farmaciapermanente.com.br/naridrin-ems-adulto-caixa-15ml,"23,17","15,99"
https://farmaciapermanente.com.br/antigripal-benegrip-multi-noite-4-comprimidos,"12,06","10,99"
https://farmaciapermanente.com.br/sumaxpro-libbs-caixa-2-comprimidos-revestidos,"41,69","38,77"
https://farmaciapermanente.com.br/luftal-gel-caps-simeticona-125mg-10-capsulas-gelatinosas,"28,68","24,99"
https://farmaciapermanente.com.br/aerolin-spray-100mcg-gsk-caixa-14-6ml-200-doses,"45,07","21,49"
https://farmaciapermanente.com.br/apracur-6-comprimidos-revestidos-1mg-100mg-50mg,"11,59","10,99"
https://farmaciapermanente.com.br/puran-t4-125mcg-sanofi-caixa-30-comprimidos,"24,08","22,64"
https://farmaciapermanente.com.br/ciflogex-laranja-3mg-cimed-caixa-12-pastilhas,"16,15","15,49"
https://farmaciapermanente.com.br/dramin-b6-takeda-caixa-30ml-solucao-oral,"23,49","22,32"
https://farmaciapermanente.com.br/gelol-52-5mg-g-pomada-20g,"24,85","23,61"
https://farmaciapermanente.com.br/xigduo-xr-5-1000mg-caixa-60-comp-rev,"252,87","196,00"
https://farmaciapermanente.com.br/fluconazol-150mg-medley-caixa-2-capsulas,"41,92","13,49"
https://farmaciapermanente.com.br/cloridrato-de-dorzolamida-maleato-de-timolol-teuto-caixa-5ml-solucao-oftalmica,,
https://farmaciapermanente.com.br/ibuprofeno-400-mg-neo-quimica,"25,54","16,32"
https://farmaciapermanente.com.br/tylenol-gotas-15ml-200mg,"45,79","35,99"
https://farmaciapermanente.com.br/luftal-gotas-simeticona-75mg-ml-30ml,"57,46","49,99"
https://farmaciapermanente.com.br/lasix-40mg-sanofi-caixa-20-comprimidos,"24,23","22,78"
https://farmaciapermanente.com.br/cimed-ciflogex,"18,29","15,99"
https://farmaciapermanente.com.br/ibuprofeno-100mg-ml-suspensao-oral-20ml-medley,"16,47","15,99"
https://farmaciapermanente.com.br/aciclovir-50-mg-g-creme-dermatologico-cimed-generico,"30,43","18,99"
https://farmaciapermanente.com.br/regulador-intestinal-20-bi-10-capsulas,"89,97","84,46"
https://farmaciapermanente.com.br/gripinew-6cp,"10,57","4,99"
https://farmaciapermanente.com.br/sulfato-de-neomicina-5mg-g-bacitracina-250ui-g-generico-cimed-15g-pomada,"12,39","11,99"
https://farmaciapermanente.com.br/dipirona-monoidratada-500mg-ml-solucao-oral-10ml-ems,,
https://farmaciapermanente.com.br/puran-t4-100mcg-sanofi-caixa-30-comprimidos,"16,40","15,42"
https://farmaciapermanente.com.br/cataflampro-emulgel-tripla-acao-analgesico-anti-inflamatorio-para-tratamento-da-inflamacao-e-dor-muscular-com-30g,"21,59","20,99"
https://farmaciapermanente.com.br/epocler-abacaxi-com-6-flaconetes,"22,36","22,19"
https://farmaciapermanente.com.br/analgesico-dorflex-uno-enxaqueca-1g-20-comprimidos,"27,05","21,99"
https://farmaciapermanente.com.br/xarope-desloratadina-0-5mg-ml-medley-caixa-60ml-seringa-dosadora,"46,73","24,99"
https://farmaciapermanente.com.br/biozinc-kids-2mg-0-5ml-75ml-solucao-ache,"43,31","41,14"
https://farmaciapermanente.com.br/torsilax-neo-quimica-4-comprimidos,"6,16","3,99"
https://farmaciapermanente.com.br/benegrip-multi-frutas-vermelhas-solucao-240ml,"40,08","32,99"
https://farmaciapermanente.com.br/rinosoro-jet-0-9-infantil-spray-100ml,"51,19","39,90"
https://farmaciapermanente.com.br/lantus-solostar-100u-ml-sanofi-caixa-3ml-solucao-injetavel,"118,09","102,74"
https://farmaciapermanente.com.br/colirio-lacrifilm-10ml-solucao-oftamilca-genom,"32,23","28,99"
https://farmaciapermanente.com.br/suplemento-vitaminico-e-mineral-zirvit-kids-150ml-suspensao-arese-pharma,"77,31","73,44"
https://farmaciapermanente.com.br/hidroxido-de-aluminio-61-5-mg-ems,"20,78","14,99"
https://farmaciapermanente.com.br/materna-30-comprimidos-revestidos,"79,99","64,59"
https://farmaciapermanente.com.br/nimesulida-100mg-caixa-12-comp,"16,25","6,49"
https://farmaciapermanente.com.br/pantoprazol-40mg-caixa-42-comp-rev-lib-retard,"138,41","31,99"
https://farmaciapermanente.com.br/tratamento-da-candidiase-gino-canesten-r-creme-vaginal-6-dias,"78,26","77,99"
https://farmaciapermanente.com.br/secnidazol-1000mg-bl-x-2-comp,"25,54","16,99"
https://farmaciapermanente.com.br/dipirona-sadica-500mg-10-comprimidos,"6,21","4,99"
https://farmaciapermanente.com.br/sintocalmy-600mg-30-comprimidos-revestidos,"80,90","78,36"
https://farmaciapermanente.com.br/xarope-abrilar-7mg-ml-fqm-caixa-100ml-copo-medida,"45,65","42,45"
https://farmaciapermanente.com.br/estomazil-abacaxi-10-comprimidos-mastigaveis,"8,97","8,69"
https://farmaciapermanente.com.br/diclofenaco-dietilamonio-11-6mg-g-generico-cimed-60g-gel,"19,26","9,99"
https://farmaciapermanente.com.br/avide-100mg-achecaixa-9-capsulas,"53,64","49,89"
https://farmaciapermanente.com.br/florax-sm-adulto-sabor-framboesa-5-flaconetes-hebro,"53,13","51,99"
https://farmaciapermanente.com.br/cloridrato-de-naratriptana-2-5mg-nova-quimica-caixa-10-comprimidos-revestidos,"39,21","33,99"
https://farmaciapermanente.com.br/naldecon-pack-dia-e-noite-caixa-24-comprimidos,"50,67","48,13"
https://farmaciapermanente.com.br/colidis-5ml,"139,37","132,40"
https://farmaciapermanente.com.br/insulina-tresiba-flextouch-100u-ml-com-1-caneta,"R$ 213,44","R$ 213,44"
https://farmaciapermanente.com.br/lidocaina-50mg-g-ems-caixa-25g,"18,40","17,49"
https://farmaciapermanente.com.br/lacrifilm-15ml-solucao-oftalmica-genom,"40,83","33,99"
https://farmaciapermanente.com.br/descongestionante-nasal-salsep-spray-50ml,"25,28","24,96"
https://farmaciapermanente.com.br/xarope-desloratadina-0-5mg-ml-medley-caixa-100ml-seringa-dosadora,"69,45","39,99"
https://farmaciapermanente.com.br/nesina-25mg-takeda-caixa-30-comprimidos-revestidos,"176,45","133,11"
https://farmaciapermanente.com.br/metildopa-500mg-ems-caixa-30-comprimidos-revestidos,"56,09","53,99"
https://farmaciapermanente.com.br/gastrol-com-20-pastilhas,"19,95","19,37"
https://farmaciapermanente.com.br/glibenclamida-5mg-ems-caixa-30-comprimidos,"15,21","5,49"
https://farmaciapermanente.com.br/analgesico-flanax-275mg-bayer-com-8-comprimidos,"13,91","13,21"
https://farmaciapermanente.com.br/doril-enxaqueca-4-comprimidos,"10,04","9,99"
https://farmaciapermanente.com.br/comprimidos-efervescentes-cebion-vitamina-c-sabor-laranja-10-comprimidos,"18,11","10,99"
https://farmaciapermanente.com.br/polaramine-solucao-oral-120ml-0-4mg,"34,17","31,75"
https://farmaciapermanente.com.br/mononitrato-de-isossorbida-20mg-achecaixa-30-comprimidos,"13,73","11,49"
